    Triângulo Equilátero:


        (-1, 0)

        (0, 0.73)

        (1, 0)

    Quadrado:

        (-1, -1)

        (-1, 1)

        (1, 1)

        (1, -1)

        (-0.5, -0.5)

        (-0.5, 0.5)

        (0.5, 0.5)

        (0.5, -0.5)

    Hexágono:

        (-0.5, -0.87)

        (-1, 0)

        (-0.5, 0.87)

        (0.5, 0.87)

        (1, 0)

        (0.5, -0.87)

        

        (-0.87, 0)

        (-0.5, -0.87)

        (0.5, -0.87)

        (0.87, 0)

        (0.5, 0.87)

        (-0.5, 0.87)
